Species,Antibiotic,Concentration,DMSO,Absorbance,Inhibition,Type
P. aeruginosa,Gentamycin,8,6.3,-0.01,96.506,Variable
P. aeruginosa,Gentamycin,16,12.5,-0.01,95.674,Variable
P. aeruginosa,Gentamycin,0.03,0.03,0.85,-21.44,Variable
P. aeruginosa,Gentamycin,0.06,0.05,0.79,-19.69,Variable
P. aeruginosa,Gentamycin,0.13,0.1,0.83,-3.06,Variable
P. aeruginosa,Gentamycin,0.25,0.2,0.82,-11.38,Variable
P. aeruginosa,Gentamycin,0.5,0.4,0.94,9.08,Variable
P. aeruginosa,Gentamycin,1,0.8,0.88,-29.43,Variable
P. aeruginosa,Gentamycin,2,1.6,-0.01,99.78,Variable
P. aeruginosa,Gentamycin,4,3.1,-0.01,98.91,Variable
P. aeruginosa,Gentamycin,8,6.3,-0.01,99.78,Variable
P. aeruginosa,Gentamycin,16,12.5,-0.01,99.56,Variable
P. aeruginosa,Gentamycin,0,0.05,0.845,0.218,Variable
P. aeruginosa,Gentamycin,0,0.1,0.848,-21.569,Variable
P. aeruginosa,Gentamycin,0,0.2,0.83,-12.854,Variable
P. aeruginosa,Gentamycin,0,0.4,0.786,-19.826,Variable
P. aeruginosa,Gentamycin,0,0.8,0.815,-21.786,Variable
P. aeruginosa,Gentamycin,0,1.6,1.142,-7.407,Variable
P. aeruginosa,Gentamycin,0,3.1,1.082,53.595,Variable
P. aeruginosa,Gentamycin,0,6.3,0.496,-268.519,Variable
P. aeruginosa,Gentamycin,0,12.5,0,99.673,Variable
P. aeruginosa,Gentamycin,0,25,-0.001,100,Variable
P. aeruginosa,Gentamycin,0,0.05,1.1,-26.036,Variable
P. aeruginosa,Gentamycin,0,0.1,1.06,5.769,Variable
P. aeruginosa,Gentamycin,0,0.2,1.22,-12.574,Variable
P. aeruginosa,Gentamycin,0,0.4,0.84,-25,Variable
P. aeruginosa,Gentamycin,0,0.8,0.79,-15.68,Variable
P. aeruginosa,Gentamycin,0,1.6,0.88,-34.172,Variable
P. aeruginosa,Gentamycin,0,3.1,1.41,28.402,Variable
P. aeruginosa,Gentamycin,0,6.3,0.55,-270.562,Variable
P. aeruginosa,Gentamycin,0,12.5,-0.01,99.112,Variable
P. aeruginosa,Gentamycin,0,25,-0.01,99.704,Variable
P. aeruginosa,Gentamycin,0,0.05,0.916,-9.151,Variable
P. aeruginosa,Gentamycin,0,0.1,0.803,-3.245,Variable
P. aeruginosa,Gentamycin,0,0.2,0.777,-16.556,Variable
P. aeruginosa,Gentamycin,0,0.4,0.81,-39.351,Variable
P. aeruginosa,Gentamycin,0,0.8,0.854,-4.16,Variable
P. aeruginosa,Gentamycin,0,1.6,0.916,10.982,Variable
P. aeruginosa,Gentamycin,0,3.1,0.861,41.348,Variable
P. aeruginosa,Gentamycin,0,6.3,0.556,-255,Variable
P. aeruginosa,Gentamycin,0,12.5,-0.003,98.835,Variable
P. aeruginosa,Gentamycin,0,25,-0.003,98.669,Variable
P. aeruginosa,Gentamycin,0,0.05,0.947,-39.704,Variable
P. aeruginosa,Gentamycin,0,0.1,0.908,-29.61,Variable
P. aeruginosa,Gentamycin,0,0.2,0.969,-56.931,Variable
P. aeruginosa,Gentamycin,0,0.4,1.242,-16.958,Variable
P. aeruginosa,Gentamycin,0,0.8,1.35,-41.05,Variable
P. aeruginosa,Gentamycin,0,1.6,1.292,10.902,Variable
P. aeruginosa,Gentamycin,0,3.1,0.999,34.859,Variable
P. aeruginosa,Gentamycin,0,6.3,0.579,-268.641,Variable
P. aeruginosa,Gentamycin,0,12.5,-0.002,97.847,Variable
P. aeruginosa,Gentamycin,0,25,0,98.654,Variable
P. aeruginosa,Gentamycin,0,0.05,0.862,-1.211,Variable
P. aeruginosa,Gentamycin,0,0.1,0.932,-20.861,Variable
P. aeruginosa,Gentamycin,0,0.2,1.022,-32.84,Variable
P. aeruginosa,Gentamycin,0,0.4,1.162,-16.958,Variable
P. aeruginosa,Gentamycin,0,0.8,1.258,-3.634,Variable
P. aeruginosa,Gentamycin,0,1.6,1.532,11.709,Variable
P. aeruginosa,Gentamycin,0,3.1,0.981,47.241,Variable
P. aeruginosa,Gentamycin,0,6.3,0.597,-278.062,Variable
P. aeruginosa,Gentamycin,0,12.5,-0.002,97.443,Variable
P. aeruginosa,Gentamycin,0,25,0,97.847,Variable
P. aeruginosa,Gentamycin,0,0.05,1.024,15.509,Variable
P. aeruginosa,Gentamycin,0,0.1,0.91,-13.772,Variable
P. aeruginosa,Gentamycin,0,0.2,1.025,-16.005,Variable
P. aeruginosa,Gentamycin,0,0.4,1.179,-3.846,Variable
P. aeruginosa,Gentamycin,0,0.8,1.394,-4.218,Variable
P. aeruginosa,Gentamycin,0,1.6,1.537,17.618,Variable
P. aeruginosa,Gentamycin,0,3.1,1.038,43.424,Variable
P. aeruginosa,Gentamycin,0,6.3,0.612,-264.888,Variable
P. aeruginosa,Gentamycin,0,12.5,-0.002,98.759,Variable
P. aeruginosa,Gentamycin,0,25,-0.002,98.511,Variable
P. aeruginosa,Gentamycin,0,0.05,0.961,15.012,Variable
P. aeruginosa,Gentamycin,0,0.1,0.978,3.102,Variable
P. aeruginosa,Gentamycin,0,0.2,1.102,-2.357,Variable
P. aeruginosa,Gentamycin,0,0.4,1.064,-3.846,Variable
P. aeruginosa,Gentamycin,0,0.8,1.28,-2.109,Variable
P. aeruginosa,Gentamycin,0,1.6,1.445,25.682,Variable
P. aeruginosa,Gentamycin,0,3.1,0.95,41.191,Variable
P. aeruginosa,Gentamycin,0,6.3,0.581,-227.667,Variable
P. aeruginosa,Gentamycin,0,12.5,-0.002,97.767,Variable
P. aeruginosa,Gentamycin,0,25,-0.001,97.395,Variable
