"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"b.alpha[1, 1]",3.852,0.747,2.557,3.798,5.5,1,3180
"b.alpha[2, 1]",14.554,6.376,8.274,12.496,31.891,1.03,486
"b.alpha[1, 2]",8.184,6.826,2.305,6.065,27.528,1,2594
"b.alpha[2, 2]",21.507,10.69,9.386,18.621,49.933,1,4587
"b.alpha[1, 3]",7.05,5.648,2.103,5.413,23.682,1.01,2380
"b.alpha[2, 3]",5.22,0.85,3.752,5.159,7.059,1.01,416
"b.alpha[1, 4]",4.338,3.361,1.074,3.6,12.744,1.05,1439
"b.alpha[2, 4]",44.006,14.954,21.5,41.756,79.931,1,2185
"c.alpha[1, 1]",0,0,0,0,0,NA,0
"c.alpha[2, 1]",0,0,0,0,0,NA,0
"c.alpha[1, 2]",0,0,0,0,0,NA,0
"c.alpha[2, 2]",0,0,0,0,0,NA,0
"c.alpha[1, 3]",0,0,0,0,0,NA,0
"c.alpha[2, 3]",0,0,0,0,0,NA,0
"c.alpha[1, 4]",0,0,0,0,0,NA,0
"c.alpha[2, 4]",0,0,0,0,0,NA,0
"cor[1, 1]",1,0,1,1,1,NA,0
"cor[2, 1]",-0.422,0.143,-0.678,-0.432,-0.129,1.01,527
"cor[3, 1]",-0.254,0.284,-0.741,-0.276,0.336,1,675
"cor[4, 1]",-0.011,0.216,-0.419,-0.015,0.411,1.01,607
"cor[1, 2]",-0.422,0.143,-0.678,-0.432,-0.129,1.01,527
"cor[2, 2]",1,0,1,1,1,1,0
"cor[3, 2]",-0.451,0.249,-0.862,-0.48,0.088,1,663
"cor[4, 2]",-0.523,0.218,-0.87,-0.552,-0.021,1.01,672
"cor[1, 3]",-0.254,0.284,-0.741,-0.276,0.336,1,675
"cor[2, 3]",-0.451,0.249,-0.862,-0.48,0.088,1,663
"cor[3, 3]",1,0,1,1,1,NA,0
"cor[4, 3]",0.412,0.334,-0.385,0.466,0.902,1,456
"cor[1, 4]",-0.011,0.216,-0.419,-0.015,0.411,1.01,607
"cor[2, 4]",-0.523,0.218,-0.87,-0.552,-0.021,1.01,672
"cor[3, 4]",0.412,0.334,-0.385,0.466,0.902,1,456
"cor[4, 4]",1,0,1,1,1,1,0
"d.alpha[1, 1]",0.318,0.029,0.262,0.318,0.376,1,2096
"d.alpha[2, 1]",0.787,0.027,0.734,0.787,0.841,1,1265
"d.alpha[1, 2]",0.212,0.048,0.118,0.212,0.308,1,2070
"d.alpha[2, 2]",1.013,0.044,0.928,1.012,1.101,1,1244
"d.alpha[1, 3]",0.203,0.049,0.107,0.202,0.303,1,2247
"d.alpha[2, 3]",0.964,0.045,0.874,0.965,1.052,1.01,1298
"d.alpha[1, 4]",0.356,0.069,0.223,0.354,0.497,1,2125
"d.alpha[2, 4]",0.823,0.06,0.705,0.822,0.938,1,952
"d.diff[1, 1]",0.106,0.055,-0.004,0.106,0.215,1,2218
